client_id,persona_archetype,household_income_usd,net_worth_usd,liquidity_30d_usd,cashflow_volatility_pct,income_stream_count,primary_tax_bracket_pct,jurisdiction_country,kyc_risk_flag,compliance_restrictions,ethical_screens,product_blacklist,leverage_limit_x,drawdown_tolerance_pct,target_volatility_pct,goal_stack,time_horizon_primary_years,advice_style,explanation_depth,preferred_metrics,channel_preference_ranked,nudges_opt_in,notification_quiet_hours,trust_score_dynamic_1_100,trust_decay_days,engagement_score_1_100,adherence_score_1_100,consent_data_sources,data_freshness_days,advisor_relationship,last_action_type,last_action_date,last_action_outcome,model_version_current,safety_overrides,notes_agent_constraints
A0001,Builder,40597,138583,4510,10.1,1,10,US,Low,AccreditedOnly,,,1.8,13.2,7.7,Home:3y;Retirement:30y;Education:6y,3,Educational,Medium,MaxDD;Sharpe;IRR,Phone>Chat>In-Person>Email>App,true,23:30-06:45,73,145,71,61,OpenBanking,6,Hybrid,AutoTransfer,2025-11-14,Failed,v2.8.6,NoMargin;StopLossDisabled,Prioritize liquidity and down payment savings
A0002,Explorer,103653,197383,27455,19.5,3,15,CA,Low,NoIlliquids,NoFossilFuel,,1.6,26.8,12.1,Business:5y;Travel:2y;Healthcare:8y,5,Directive,Deep,IRR;TaxCost;MaxDD,Chat>Phone>In-Person>App,false,23:45-06:45,54,67,51,44,CreditBureau;OpenBanking,2,Hybrid,AlertAcknowledge,2025-11-24,Partial,v1.9.4,NoIlliquids;NoPennyStocks;PauseWhenVIX>30,Allow small experimental sleeve ≤ 3%
A0003,Stabilizer,82359,562442,29905,4.9,3,10,US,Low,,ESGOnly;NoWeapons,Crypto;LeveragedETFs;PennyStocks,1.1,16.7,7.1,Retirement:15y;Emergency:1y;Debt:2y,15,Educational,Shallow,Sharpe;MaxDD;TaxCost,Phone>Email>App>In-Person,true,23:00-06:15,52,100,43,43,CreditBureau;OpenBanking,9,Hybrid,AlertAcknowledge,2025-04-18,Partial,v1.9.8,LimitOrderOnly;StopLossDisabled,Keep expenses buffer ≥ 4 months
A0004,Explorer,33596,28014,1993,12.7,4,10,US,Low,NoIlliquids,,Crypto;PennyStocks,2.1,21.8,13.6,Business:5y;Travel:2y;Healthcare:8y,5,Concise,Medium,MaxDD;IRR;Sharpe,Chat>Phone>App>Email,true,21:15-08:45,70,72,75,70,OpenBanking,4,Human,AlertAcknowledge,2025-03-24,Success,v2.8.1,NoMargin;NoPennyStocks,Allow small experimental sleeve ≤ 3%
A0005,Stabilizer,57353,195545,6884,7.2,1,10,US,Low,,,Crypto;LeveragedETFs;PennyStocks,1.0,16.8,5.9,Retirement:15y;Emergency:1y;Education:6y,15,Concise,Medium,Sharpe;TaxCost;MaxDD,In-Person>Chat>App>Phone>Email,true,21:15-07:15,58,116,49,46,CreditBureau;OpenBanking,5,None,AutoTransfer,2025-05-17,Success,v1.9.2,NoIlliquids;NoPennyStocks,Keep expenses buffer ≥ 4 months
A0006,Builder,139127,258773,9085,13.6,2,12,US,Low,,,PrivateCredit,1.6,15.8,8.1,Home:3y;Retirement:30y;Education:6y,3,Concise,Deep,MaxDD;TaxCost,App>Email>In-Person,false,20:00-06:00,67,118,53,52,OpenBanking;Payroll,9,None,Rebalance,2025-10-19,Success,v2.9.4,LimitOrderOnly,Prioritize liquidity and down payment savings
A0007,Stabilizer,26391,82582,5332,9.5,1,10,US,Low,NoIlliquids;NoShortSelling,,Crypto;LeveragedETFs;PennyStocks,1.0,11.1,8.4,Retirement:15y;Emergency:1y;Healthcare:8y,15,Educational,Shallow,Sharpe;MaxDD;TaxCost,Chat>Phone>Email>App,true,19:15-06:30,65,160,74,69,CreditBureau;OpenBanking,10,Hybrid,PlanUpdate,2025-09-23,Success,v1.9.2,NoAutoTradesBelow$1k;NoMargin,Keep expenses buffer ≥ 4 months
A0008,Preserver,83152,1007985,64768,6.8,3,10,US,Low,,NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.0,12.2,6.0,Retirement:15y;Emergency:1y;Education:6y,15,Collaborative,Shallow,Sharpe;MaxDD,In-Person>Email>Chat,true,23:45-07:00,73,190,67,67,Brokerage;CreditBureau;OpenBanking;Payroll,6,Human,AlertAcknowledge,2025-12-03,Success,v1.8.1,LimitOrderOnly;NoMargin;PauseWhenVIX>30;StopLossDisabled,Maintain ≥ 12m cash runway and low drawdown
A0009,Builder,116969,378411,12770,11.0,4,12,US,Medium,,NoFossilFuel;ESGOnly,,1.6,20.4,9.0,Home:3y;Retirement:30y,3,Directive,Shallow,Sharpe;IRR,Email>Phone>Chat>In-Person,true,20:00-06:15,53,130,52,42,CreditBureau;OpenBanking,19,None,PlanUpdate,2025-03-26,Partial,v2.8.3,NoAutoTradesBelow$1k,Prioritize liquidity and down payment savings
A0010,Builder,44800,88870,4674,8.2,4,10,US,Medium,NoShortSelling;NoDerivatives,ESGOnly;NoWeapons,LeveragedETFs,1.4,21.3,7.3,Home:3y;Retirement:30y;Debt:2y,3,Educational,Shallow,Sharpe;MaxDD,In-Person>Email>Phone>App,true,19:45-06:30,68,114,73,66,CreditBureau;OpenBanking;Payroll,18,Hybrid,Rebalance,2025-07-12,Success,v1.8.1,NoAutoTradesBelow$1k;NoIlliquids;NoPennyStocks,Prioritize liquidity and down payment savings
A0011,Stabilizer,54987,407762,24577,3.8,4,10,SG,Low,NoShortSelling,ESGOnly;NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.0,8.5,7.2,Retirement:15y;Emergency:1y;Education:6y,15,Educational,Medium,TaxCost;MaxDD;Sharpe,Email>Chat>In-Person>App>Phone,true,22:00-07:00,63,122,64,58,CreditBureau;OpenBanking;Payroll,7,Human,AlertAcknowledge,2025-05-17,Failed,v1.9.1,NoAutoTradesBelow$1k,Keep expenses buffer ≥ 4 months
A0012,Preserver,95046,559188,36034,6.1,3,10,DE,Medium,,NoFossilFuel,Crypto;LeveragedETFs;PennyStocks,1.0,12.8,5.9,Retirement:15y;Emergency:1y;Healthcare:8y,15,Collaborative,Shallow,MaxDD;TaxCost;Sharpe,In-Person>Chat>Email,true,22:00-08:30,77,127,66,69,Brokerage;CreditBureau;OpenBanking,12,Human,PlanUpdate,2025-09-28,Failed,v1.10.7,NoMargin;PauseWhenVIX>30;StopLossDisabled,Maintain ≥ 12m cash runway and low drawdown
A0013,Optimizer,254153,1889523,129056,8.3,2,12,US,Low,NoDerivatives;NoShortSelling,,PennyStocks,1.8,23.1,13.0,Wealth:10y;Estate:20y;Healthcare:8y,10,Concise,Shallow,TaxCost;Sharpe;MaxDD,In-Person>Chat>App>Phone>Email,true,19:45-06:15,69,107,62,50,Brokerage;OpenBanking,3,Human,AutoTransfer,2025-03-10,Success,v1.9.8,LimitOrderOnly;NoIlliquids;NoMargin,Enforce tax budget and position caps
